id,name,origin,region,subgroup,C4_lvl,C4_LL,C4_SD,C5_lvl,C5_LL,C5_SD,V_lvl,V_LL,V_SD,P9a_lvl,P9a_LL,P9a_SD,C4_bin,C5_bin,V_bin,P9a_bin,fasta
B015,Kahamu,Romania,EUR,XI-1A,S,22.22222222222222,1.3231672626460622,S,22.362499999999997,1.68637534273246,S,25.333333333333332,1.5811388300841898,S,18.747058823529414,1.190967160663038,0,0,0,0,/content/drive/MyDrive/consensus_results/B015.fasta.gz
B061,Guangluai 4,China,EAS,XI-1A,MR,9.944444444444445,0.9662515072736712,MS,10.282352941176471,0.7,S,21.61111111111111,2.3,MS,13.618749999999999,1.2,1,0,0,0,/content/drive/MyDrive/consensus_results/B061.fasta.gz
B081,Heidu 4,China,EAS,XI-1A,S,20.77777777777778,2.3,S,15.97222222222222,1.3,S,32.55555555555556,1.3333333333333335,S,17.51666666666667,1.4,0,0,0,0,/content/drive/MyDrive/consensus_results/B081.fasta.gz
B094,Zinuo,China,EAS,XI-1A,S,17.0,1.776388345929897,S,19.9,1.2,S,22.0,1.5491933384829668,S,20.7,1.8,0,0,0,0,/content/drive/MyDrive/consensus_results/B094.fasta.gz
B149,Haoxiang,China,EAS,XI-1A,S,24.88888888888889,1.8,S,23.8,1.6104692207897366,S,34.77777777777778,1.2018504251546631,S,25.9,1.5496191288327743,0,0,0,0,/content/drive/MyDrive/consensus_results/B149.fasta.gz
B157,88B,China,EAS,XI-1A,R,1.0,0.0,MS,12.055555555555555,1.1,S,31.444444444444443,1.4240006242195884,MS,13.0,1.2,1,0,0,0,/content/drive/MyDrive/consensus_results/B157.fasta.gz
B197,Taizhongxianxuan 2,Taiwan,EAR,XI-1A,R,2.9444444444444446,0.10015420209622193,S,15.525,0.6854641574226259,S,30.0,2.3,R,3.1599999999999997,0.1,1,0,0,1,/content/drive/MyDrive/consensus_results/B197.fasta.gz
B208,Lucaihao,China,EAS,XI-1A,MS,12.4444444444444,1.256771780651513,MS,13.05,1.2,S,35.888888888888886,2.6,S,18.11875,1.7,0,0,0,0,/content/drive/MyDrive/consensus_results/B208.fasta.gz
B210,Nanxiongzaoyouzhan,China,EAS,XI-1A,MR,7.222222222222222,0.8127077132404329,S,24.831250000000004,1.1247221879201987,S,26.666666666666668,1.6583123951777,S,26.958823529411767,2.4,1,0,0,0,/content/drive/MyDrive/consensus_results/B210.fasta.gz
B216,Hanmadao4,China,EAS,XI-1A,MS,13.61111111111111,0.8810417515085395,S,20.46111111111111,1.8,S,31.555555555555557,1.130388330520878,S,17.5,1.4,0,0,0,0,/content/drive/MyDrive/consensus_results/B216.fasta.gz
B221,Fanhaopi,China,EAS,XI-1A,MS,12.61111111111111,1.2,S,20.9,0.4835488025468003,S,34.44444444444444,1.5092308563562362,S,26.4,2.3,0,0,0,0,/content/drive/MyDrive/consensus_results/B221.fasta.gz
B261,Meihuanuo,China,EAS,XI-1A,S,19.444444444444443,1.1915339216404006,S,18.43333333333333,1.2,S,32.111111111111114,1.2692955176439846,S,23.046666666666667,1.8676150864434333,0,0,0,0,/content/drive/MyDrive/consensus_results/B261.fasta.gz
B264,Sanbaili,China,EAS,XI-1A,MS,14.777777777777779,1.5,S,24.93076923076923,1.4677789343085652,S,32.111111111111114,1.6914819275153699,S,29.39333333333333,1.8724056125150275,0,0,0,0,/content/drive/MyDrive/consensus_results/B264.fasta.gz
CX3,BR 24,Bangladesh,SAC,XI-1A,S,19.5,1.206464071390257,MS,14.655555555555553,1.2,S,32.77777777777778,2.223610677354389,S,22.174999999999997,1.8,0,0,0,0,/content/drive/MyDrive/consensus_results/CX3.fasta.gz
CX10,Gang 46B,China,EAS,XI-1A,S,24.0,2.1,MS,14.1,0.46955948623269406,S,36.111111111111114,1.90029237516523,S,15.2,1.0278753707418915,0,0,0,0,/content/drive/MyDrive/consensus_results/CX10.fasta.gz
CX101,Hei Mi Chan,China,EAS,XI-1A,S,27.88888888888889,2.84070810835675,S,18.93125,1.1830692193518424,S,34.888888888888886,1.9002923751652299,S,18.73125,1.3,0,0,0,0,/content/drive/MyDrive/consensus_results/CX101.fasta.gz
CX102,Tek Si Chut,Taiwan,EAR,XI-1A,MR,6.222222222222222,0.5407756203869939,S,15.180000000000001,0.483117768021192,S,32.77777777777778,1.5634719199411433,S,16.94,0.8049758450482304,1,0,0,0,/content/drive/MyDrive/consensus_results/CX102.fasta.gz
CX162,TN1,Taiwan,EAR,XI-1A,S,18.555555555555557,2.0,S,22.575,0.3530620027385825,S,28.88888888888889,2.5,S,23.66875,2.119519075429876,0,0,0,0,/content/drive/MyDrive/consensus_results/CX162.fasta.gz
