model,strain,eval,Accuracy,Precision,Recall,F1,AUC,MCC,branch,family,model_base
CNN1D_emb,C4,CV_random,0.608,0.606,0.564,0.577,0.661,0.217,embedding,deep,CNN1D
CNN1D_emb,C4,CV_group,0.524,0.513,0.613,0.526,0.569,0.081,embedding,deep,CNN1D
CNN1D_emb,C4,independent_test,0.639,0.629,0.665,0.644,0.694,0.281,embedding,deep,CNN1D
CNN1D_emb,C5,CV_random,0.681,0.308,0.468,0.362,0.683,0.179,embedding,deep,CNN1D
CNN1D_emb,C5,CV_group,0.649,0.252,0.476,0.32,0.599,0.102,embedding,deep,CNN1D
CNN1D_emb,C5,independent_test,0.627,0.273,0.623,0.378,0.671,0.198,embedding,deep,CNN1D
CNN1D_emb,P9a,CV_random,0.708,0.691,0.736,0.709,0.732,0.424,embedding,deep,CNN1D
CNN1D_emb,P9a,CV_group,0.699,0.687,0.724,0.694,0.689,0.325,embedding,deep,CNN1D
CNN1D_emb,P9a,independent_test,0.657,0.655,0.65,0.65,0.669,0.315,embedding,deep,CNN1D
CNN1D_raw,C4,CV_random,0.495,0.285,0.535,0.365,0.515,-0.011,DNA_tho,deep,CNN1D
CNN1D_raw,C4,CV_group,0.5,0.327,0.537,0.376,0.487,0.014,DNA_tho,deep,CNN1D
CNN1D_raw,C4,independent_test,0.504,0.223,0.445,0.297,0.564,0.008,DNA_tho,deep,CNN1D
CNN1D_raw,C5,CV_random,0.631,0.287,0.551,0.344,0.695,0.183,DNA_tho,deep,CNN1D
CNN1D_raw,C5,CV_group,0.659,0.256,0.465,0.303,0.618,0.111,DNA_tho,deep,CNN1D
CNN1D_raw,C5,independent_test,0.658,0.253,0.414,0.29,0.703,0.115,DNA_tho,deep,CNN1D
CNN1D_raw,P9a,CV_random,0.686,0.68,0.702,0.686,0.742,0.377,DNA_tho,deep,CNN1D
CNN1D_raw,P9a,CV_group,0.687,0.646,0.697,0.651,0.676,0.295,DNA_tho,deep,CNN1D
CNN1D_raw,P9a,independent_test,0.646,0.641,0.653,0.642,0.711,0.297,DNA_tho,deep,CNN1D
CNN1D_SNP,C4,CV_random,0.602,0.633,0.403,0.491,0.635,0.204,SNP,deep,CNN1D
CNN1D_SNP,C4,CV_group,0.565,0.587,0.441,0.45,0.506,0.087,SNP,deep,CNN1D
CNN1D_SNP,C4,independent_test,0.678,0.698,0.608,0.65,0.706,0.357,SNP,deep,CNN1D
CNN1D_SNP,C5,CV_random,0.734,0.371,0.578,0.449,0.718,0.3,SNP,deep,CNN1D
