acc,rid,status,length,pctN,identity,coverage
B015,Xa1,OK,28819.0,5.49,,
B015,Xa21,OK,7769.0,4.71,,
B015,Xa3_Xa26,NO_HIT,,,,
B015,xa5,OK,11929.0,0.39,,
B015,xa13_SWEET11,OK,8537.0,0.19,,
B015,xa25_SWEET13,OK,8841.0,6.93,,
B015,Xa27,NO_HIT,,,,
B061,Xa1,OK,28810.0,5.81,,
B061,Xa21,OK,7769.0,7.62,,
B061,Xa3_Xa26,NO_HIT,,,,
B061,xa5,OK,11924.0,1.04,,
B061,xa13_SWEET11,OK,8541.0,0.53,,
B061,xa25_SWEET13,OK,8842.0,7.86,,
B061,Xa27,NO_HIT,,,,
B081,Xa1,OK,28816.0,4.89,,
B081,Xa21,OK,7770.0,3.18,,
B081,Xa3_Xa26,OK,160209.0,22.43,,
B081,xa5,OK,11917.0,1.45,,
B081,xa13_SWEET11,OK,8551.0,2.32,,
B081,xa25_SWEET13,OK,8843.0,10.04,,
B081,Xa27,NO_HIT,,,,
B094,Xa1,OK,28828.0,21.54,,
B094,Xa21,OK,7788.0,17.85,,
B094,Xa3_Xa26,OK,160039.0,69.21,,
B094,xa5,OK,11923.0,1.35,,
B094,xa13_SWEET11,OK,8537.0,1.18,,
B094,xa25_SWEET13,OK,8839.0,7.15,,
B094,Xa27,NO_HIT,,,,
B149,Xa1,OK,28822.0,9.25,,
B149,Xa21,OK,7769.0,6.62,,
B149,Xa3_Xa26,NO_HIT,,,,
B149,xa5,OK,11925.0,0.52,,
B149,xa13_SWEET11,OK,8539.0,2.15,,
B149,xa25_SWEET13,OK,8842.0,8.22,,
B149,Xa27,NO_HIT,,,,
B157,Xa1,OK,28819.0,7.72,,
B157,Xa21,OK,7770.0,19.0,,
B157,Xa3_Xa26,NO_HIT,,,,
B157,xa5,OK,11917.0,1.56,,
B157,xa13_SWEET11,OK,8541.0,1.49,,
B157,xa25_SWEET13,OK,8850.0,6.72,,
B157,Xa27,NO_HIT,,,,
B197,Xa1,OK,28806.0,19.55,,
B197,Xa21,OK,7789.0,17.23,,
B197,Xa3_Xa26,OK,160140.0,68.01,,
B197,xa5,OK,11917.0,0.71,,
B197,xa13_SWEET11,OK,8537.0,0.84,,
B197,xa25_SWEET13,OK,8837.0,5.16,,
B197,Xa27,OK,5782.0,48.53,,
B208,Xa1,OK,28821.0,5.28,,
B208,Xa21,OK,7789.0,15.83,,
B208,Xa3_Xa26,NO_HIT,,,,
B208,xa5,OK,11926.0,0.57,,
B208,xa13_SWEET11,OK,8547.0,0.09,,
B208,xa25_SWEET13,OK,8839.0,8.37,,
B208,Xa27,NO_HIT,,,,
B210,Xa1,OK,28824.0,46.02,,
B210,Xa21,OK,6554.0,33.12,,
B210,Xa3_Xa26,OK,8526.0,29.24,,
B210,xa5,OK,11923.0,0.55,,
B210,xa13_SWEET11,OK,8541.0,1.24,,
B210,xa25_SWEET13,OK,8870.0,1.38,,
B210,Xa27,OK,5783.0,50.75,,
B216,Xa1,OK,28820.0,4.89,,
B216,Xa21,OK,7789.0,17.55,,
B216,Xa3_Xa26,NO_HIT,,,,
B216,xa5,OK,11919.0,0.15,,
B216,xa13_SWEET11,OK,8545.0,1.08,,
B216,xa25_SWEET13,OK,8855.0,9.75,,
B216,Xa27,OK,5776.0,52.18,,
B221,Xa1,OK,28826.0,7.04,,
B221,Xa21,OK,7784.0,4.97,,
B221,Xa3_Xa26,OK,8477.0,35.48,,
B221,xa5,OK,11924.0,0.78,,
B221,xa13_SWEET11,OK,8536.0,0.08,,
B221,xa25_SWEET13,OK,8895.0,7.54,,
B221,Xa27,NO_HIT,,,,
B261,Xa1,OK,28829.0,6.26,,
B261,Xa21,OK,7791.0,2.43,,
B261,Xa3_Xa26,OK,8509.0,32.75,,
B261,xa5,OK,11924.0,0.77,,
B261,xa13_SWEET11,OK,8547.0,0.09,,
B261,xa25_SWEET13,OK,8853.0,7.77,,
B261,Xa27,NO_HIT,,,,
B264,Xa1,OK,28846.0,43.35,,
B264,Xa21,OK,7791.0,1.41,,
B264,Xa3_Xa26,NO_HIT,,,,
B264,xa5,OK,11919.0,0.06,,
B264,xa13_SWEET11,OK,8538.0,1.23,,
B264,xa25_SWEET13,OK,8891.0,7.41,,
B264,Xa27,OK,5777.0,50.49,,
CX3,Xa1,OK,28811.0,5.83,,
CX3,Xa21,OK,7772.0,16.2,,
CX3,Xa3_Xa26,OK,8483.0,36.51,,
CX3,xa5,OK,11923.0,0.13,,
CX3,xa13_SWEET11,OK,8550.0,0.83,,
CX3,xa25_SWEET13,OK,8848.0,6.53,,
CX3,Xa27,NO_HIT,,,,
CX10,Xa1,OK,28817.0,5.24,,
CX10,Xa21,OK,7787.0,16.5,,
CX10,Xa3_Xa26,OK,8489.0,34.13,,
CX10,xa5,OK,11917.0,0.47,,
CX10,xa13_SWEET11,OK,8538.0,0.16,,
CX10,xa25_SWEET13,OK,8885.0,6.43,,
CX10,Xa27,NO_HIT,,,,
CX101,Xa1,OK,28822.0,5.13,,
CX101,Xa21,OK,7791.0,0.32,,
CX101,Xa3_Xa26,NO_HIT,,,,
CX101,xa5,OK,11925.0,0.04,,
CX101,xa13_SWEET11,OK,8540.0,0.02,,
CX101,xa25_SWEET13,OK,8849.0,6.22,,
CX101,Xa27,NO_HIT,,,,
CX102,Xa1,OK,28843.0,46.53,,
CX102,Xa21,OK,7769.0,3.49,,
CX102,Xa3_Xa26,OK,10644.0,14.83,,
CX102,xa5,OK,11917.0,0.35,,
CX102,xa13_SWEET11,OK,8537.0,0.55,,
CX102,xa25_SWEET13,OK,8842.0,6.45,,
CX102,Xa27,NO_HIT,,,,
CX162,Xa1,OK,28821.0,20.71,,
CX162,Xa21,OK,7769.0,7.68,,
CX162,Xa3_Xa26,OK,8477.0,30.21,,
CX162,xa5,OK,11917.0,0.34,,
CX162,xa13_SWEET11,OK,8537.0,2.5,,
CX162,xa25_SWEET13,OK,8031.0,12.71,,
CX162,Xa27,OK,5600.0,49.61,,
CX270,Xa1,OK,28818.0,26.18,,
CX270,Xa21,OK,7769.0,4.72,,
CX270,Xa3_Xa26,NO_HIT,,,,
CX270,xa5,OK,11917.0,0.42,,
CX270,xa13_SWEET11,OK,8531.0,5.32,,
CX270,xa25_SWEET13,OK,8852.0,9.64,,
CX270,Xa27,NO_HIT,,,,
IRIS_313-8454,Xa1,OK,28829.0,8.15,,
IRIS_313-8454,Xa21,OK,7769.0,2.12,,
IRIS_313-8454,Xa3_Xa26,NO_HIT,,,,
IRIS_313-8454,xa5,OK,11917.0,0.39,,
IRIS_313-8454,xa13_SWEET11,OK,8544.0,0.04,,
IRIS_313-8454,xa25_SWEET13,OK,8848.0,6.08,,
IRIS_313-8454,Xa27,NO_HIT,,,,
IRIS_313-10171,Xa1,OK,28820.0,5.33,,
IRIS_313-10171,Xa21,OK,7776.0,2.96,,
IRIS_313-10171,Xa3_Xa26,OK,160104.0,68.35,,
IRIS_313-10171,xa5,OK,11917.0,0.32,,
IRIS_313-10171,xa13_SWEET11,OK,8538.0,0.09,,
IRIS_313-10171,xa25_SWEET13,OK,8884.0,2.19,,
IRIS_313-10171,Xa27,NO_HIT,,,,
IRIS_313-10503,Xa1,OK,28846.0,47.63,,
IRIS_313-10503,Xa21,OK,7789.0,16.39,,
IRIS_313-10503,Xa3_Xa26,NO_HIT,,,,
IRIS_313-10503,xa5,OK,11917.0,0.36,,
IRIS_313-10503,xa13_SWEET11,OK,8538.0,0.82,,
IRIS_313-10503,xa25_SWEET13,OK,8849.0,5.97,,
IRIS_313-10503,Xa27,OK,5782.0,51.44,,
IRIS_313-10968,Xa1,OK,28818.0,5.24,,
IRIS_313-10968,Xa21,OK,7789.0,15.71,,
IRIS_313-10968,Xa3_Xa26,OK,8483.0,37.03,,
IRIS_313-10968,xa5,OK,11921.0,0.3,,
IRIS_313-10968,xa13_SWEET11,OK,8541.0,0.04,,
IRIS_313-10968,xa25_SWEET13,OK,8850.0,6.12,,
IRIS_313-10968,Xa27,NO_HIT,,,,
IRIS_313-11038,Xa1,OK,28827.0,5.78,,
IRIS_313-11038,Xa21,OK,7789.0,15.16,,
IRIS_313-11038,Xa3_Xa26,OK,8461.0,37.53,,
IRIS_313-11038,xa5,OK,11919.0,0.35,,
IRIS_313-11038,xa13_SWEET11,OK,8538.0,0.54,,
IRIS_313-11038,xa25_SWEET13,OK,8850.0,6.16,,
IRIS_313-11038,Xa27,NO_HIT,,,,
IRIS_313-11039,Xa1,OK,28814.0,4.67,,
IRIS_313-11039,Xa21,OK,7769.0,2.15,,
IRIS_313-11039,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11039,xa5,OK,11923.0,0.38,,
IRIS_313-11039,xa13_SWEET11,OK,8538.0,0.09,,
IRIS_313-11039,xa25_SWEET13,OK,8850.0,5.28,,
IRIS_313-11039,Xa27,NO_HIT,,,,
IRIS_313-11665,Xa1,OK,28821.0,5.09,,
IRIS_313-11665,Xa21,OK,7769.0,2.41,,
IRIS_313-11665,Xa3_Xa26,OK,8500.0,36.26,,
IRIS_313-11665,xa5,OK,11917.0,0.34,,
IRIS_313-11665,xa13_SWEET11,OK,8542.0,0.12,,
IRIS_313-11665,xa25_SWEET13,OK,8842.0,5.52,,
IRIS_313-11665,Xa27,NO_HIT,,,,
IRIS_313-11667,Xa1,OK,28816.0,5.23,,
IRIS_313-11667,Xa21,OK,7772.0,17.52,,
IRIS_313-11667,Xa3_Xa26,OK,163087.0,83.07,,
IRIS_313-11667,xa5,OK,11924.0,0.35,,
IRIS_313-11667,xa13_SWEET11,OK,8538.0,0.09,,
IRIS_313-11667,xa25_SWEET13,OK,8850.0,5.73,,
IRIS_313-11667,Xa27,NO_HIT,,,,
IRIS_313-11668,Xa1,OK,28810.0,5.16,,
IRIS_313-11668,Xa21,OK,7769.0,2.5,,
IRIS_313-11668,Xa3_Xa26,OK,8497.0,35.94,,
IRIS_313-11668,xa5,OK,11917.0,0.31,,
IRIS_313-11668,xa13_SWEET11,OK,8538.0,0.16,,
IRIS_313-11668,xa25_SWEET13,OK,8850.0,5.32,,
IRIS_313-11668,Xa27,NO_HIT,,,,
IRIS_313-11692,Xa1,OK,66605.0,55.39,,
IRIS_313-11692,Xa21,OK,7769.0,2.5,,
IRIS_313-11692,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11692,xa5,OK,11917.0,0.38,,
IRIS_313-11692,xa13_SWEET11,OK,8537.0,0.09,,
IRIS_313-11692,xa25_SWEET13,OK,8842.0,5.38,,
IRIS_313-11692,Xa27,OK,5779.0,50.55,,
IRIS_313-11727,Xa1,OK,28817.0,5.31,,
IRIS_313-11727,Xa21,OK,7769.0,2.77,,
IRIS_313-11727,Xa3_Xa26,OK,8483.0,34.95,,
IRIS_313-11727,xa5,OK,11917.0,0.39,,
IRIS_313-11727,xa13_SWEET11,OK,8538.0,0.16,,
IRIS_313-11727,xa25_SWEET13,OK,8892.0,5.36,,
IRIS_313-11727,Xa27,NO_HIT,,,,
IRIS_313-11732,Xa1,OK,9120.0,3.7,,
IRIS_313-11732,Xa21,OK,7769.0,2.48,,
IRIS_313-11732,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11732,xa5,OK,11917.0,0.33,,
IRIS_313-11732,xa13_SWEET11,OK,8548.0,0.11,,
IRIS_313-11732,xa25_SWEET13,OK,8887.0,0.83,,
IRIS_313-11732,Xa27,NO_HIT,,,,
IRIS_313-11733,Xa1,OK,9111.0,2.5,,
IRIS_313-11733,Xa21,OK,7769.0,2.21,,
IRIS_313-11733,Xa3_Xa26,OK,8502.0,35.09,,
IRIS_313-11733,xa5,OK,11917.0,0.34,,
IRIS_313-11733,xa13_SWEET11,OK,8541.0,0.06,,
IRIS_313-11733,xa25_SWEET13,OK,8887.0,0.55,,
IRIS_313-11733,Xa27,OK,5779.0,52.38,,
IRIS_313-11734,Xa1,OK,9111.0,1.92,,
IRIS_313-11734,Xa21,OK,7772.0,17.24,,
IRIS_313-11734,Xa3_Xa26,OK,163112.0,83.7,,
IRIS_313-11734,xa5,OK,11917.0,0.34,,
IRIS_313-11734,xa13_SWEET11,OK,8548.0,0.44,,
IRIS_313-11734,xa25_SWEET13,OK,8887.0,0.8,,
IRIS_313-11734,Xa27,OK,5782.0,51.02,,
IRIS_313-11745,Xa1,OK,27277.0,39.74,,
IRIS_313-11745,Xa21,OK,7787.0,15.55,,
IRIS_313-11745,Xa3_Xa26,OK,10681.0,15.29,,
IRIS_313-11745,xa5,OK,11917.0,0.34,,
IRIS_313-11745,xa13_SWEET11,OK,8534.0,0.02,,
IRIS_313-11745,xa25_SWEET13,OK,8848.0,5.38,,
IRIS_313-11745,Xa27,OK,5787.0,51.41,,
IRIS_313-11746,Xa1,OK,27283.0,42.9,,
IRIS_313-11746,Xa21,OK,7769.0,2.73,,
IRIS_313-11746,Xa3_Xa26,OK,160112.0,63.41,,
IRIS_313-11746,xa5,OK,11917.0,0.34,,
IRIS_313-11746,xa13_SWEET11,OK,8542.0,0.09,,
IRIS_313-11746,xa25_SWEET13,OK,8850.0,5.2,,
IRIS_313-11746,Xa27,NO_HIT,,,,
IRIS_313-11752,Xa1,OK,9104.0,2.8,,
IRIS_313-11752,Xa21,OK,7769.0,2.34,,
IRIS_313-11752,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11752,xa5,OK,11917.0,0.35,,
IRIS_313-11752,xa13_SWEET11,OK,8541.0,0.04,,
IRIS_313-11752,xa25_SWEET13,OK,8838.0,5.82,,
IRIS_313-11752,Xa27,NO_HIT,,,,
IRIS_313-11753,Xa1,OK,27246.0,40.66,,
IRIS_313-11753,Xa21,OK,7790.0,16.25,,
IRIS_313-11753,Xa3_Xa26,OK,8494.0,36.1,,
IRIS_313-11753,xa5,OK,11922.0,0.02,,
IRIS_313-11753,xa13_SWEET11,OK,8537.0,0.76,,
IRIS_313-11753,xa25_SWEET13,OK,8837.0,5.43,,
IRIS_313-11753,Xa27,NO_HIT,,,,
IRIS_313-11795,Xa1,OK,9119.0,3.02,,
IRIS_313-11795,Xa21,OK,7769.0,2.77,,
IRIS_313-11795,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11795,xa5,OK,11919.0,0.1,,
IRIS_313-11795,xa13_SWEET11,OK,8542.0,0.08,,
IRIS_313-11795,xa25_SWEET13,OK,8842.0,5.38,,
IRIS_313-11795,Xa27,NO_HIT,,,,
IRIS_313-11796,Xa1,OK,9117.0,0.55,,
IRIS_313-11796,Xa21,OK,7770.0,15.91,,
IRIS_313-11796,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11796,xa5,OK,11917.0,0.34,,
IRIS_313-11796,xa13_SWEET11,OK,8542.0,0.09,,
IRIS_313-11796,xa25_SWEET13,OK,8893.0,5.34,,
IRIS_313-11796,Xa27,NO_HIT,,,,
IRIS_313-11797,Xa1,OK,9119.0,3.31,,
IRIS_313-11797,Xa21,OK,7769.0,1.92,,
IRIS_313-11797,Xa3_Xa26,OK,8487.0,33.83,,
IRIS_313-11797,xa5,OK,11917.0,0.31,,
IRIS_313-11797,xa13_SWEET11,OK,8542.0,0.15,,
IRIS_313-11797,xa25_SWEET13,OK,8842.0,5.36,,
IRIS_313-11797,Xa27,OK,5786.0,50.33,,
IRIS_313-11799,Xa1,OK,9119.0,3.96,,
IRIS_313-11799,Xa21,OK,7787.0,15.77,,
IRIS_313-11799,Xa3_Xa26,OK,8479.0,35.9,,
IRIS_313-11799,xa5,OK,11917.0,0.36,,
IRIS_313-11799,xa13_SWEET11,OK,8538.0,0.11,,
IRIS_313-11799,xa25_SWEET13,OK,8850.0,5.54,,
IRIS_313-11799,Xa27,NO_HIT,,,,
IRIS_313-11802,Xa1,OK,9117.0,0.04,,
IRIS_313-11802,Xa21,OK,7787.0,15.41,,
IRIS_313-11802,Xa3_Xa26,OK,8507.0,30.49,,
IRIS_313-11802,xa5,OK,11925.0,0.0,,
IRIS_313-11802,xa13_SWEET11,OK,8541.0,0.09,,
IRIS_313-11802,xa25_SWEET13,OK,8850.0,5.24,,
IRIS_313-11802,Xa27,NO_HIT,,,,
IRIS_313-11804,Xa1,OK,9119.0,3.03,,
IRIS_313-11804,Xa21,OK,7772.0,16.1,,
IRIS_313-11804,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11804,xa5,OK,11917.0,0.39,,
IRIS_313-11804,xa13_SWEET11,OK,8539.0,0.11,,
IRIS_313-11804,xa25_SWEET13,OK,8850.0,5.94,,
IRIS_313-11804,Xa27,NO_HIT,,,,
IRIS_313-11805,Xa1,OK,27274.0,38.36,,
IRIS_313-11805,Xa21,OK,7787.0,15.49,,
IRIS_313-11805,Xa3_Xa26,OK,8504.0,32.3,,
IRIS_313-11805,xa5,OK,11917.0,0.31,,
IRIS_313-11805,xa13_SWEET11,OK,8542.0,0.09,,
IRIS_313-11805,xa25_SWEET13,OK,8893.0,5.33,,
IRIS_313-11805,Xa27,OK,5784.0,49.88,,
IRIS_313-11806,Xa1,OK,9103.0,6.48,,
IRIS_313-11806,Xa21,OK,7769.0,2.81,,
IRIS_313-11806,Xa3_Xa26,OK,8494.0,33.67,,
IRIS_313-11806,xa5,OK,11917.0,0.39,,
IRIS_313-11806,xa13_SWEET11,OK,8538.0,0.32,,
IRIS_313-11806,xa25_SWEET13,OK,8842.0,5.77,,
IRIS_313-11806,Xa27,NO_HIT,,,,
IRIS_313-11878,Xa1,OK,9119.0,3.34,,
IRIS_313-11878,Xa21,OK,7772.0,16.41,,
IRIS_313-11878,Xa3_Xa26,OK,8520.0,34.66,,
IRIS_313-11878,xa5,OK,11917.0,0.3,,
IRIS_313-11878,xa13_SWEET11,OK,8541.0,0.4,,
IRIS_313-11878,xa25_SWEET13,OK,8901.0,0.93,,
IRIS_313-11878,Xa27,OK,5778.0,52.34,,
