id,locus,present,cov,idt
B015,Xa7,0,0.0,0.0
B015,Xa10,0,0.0,0.0
B015,Xa23,1,0.742,0.906
B015,Xa48,1,1.0,0.801
B061,Xa7,0,0.0,0.0
B061,Xa10,0,0.0,0.0
B061,Xa23,0,0.253,0.931
B061,Xa48,0,0.755,0.745
B081,Xa7,0,0.0,0.0
B081,Xa10,0,0.0,0.0
B081,Xa23,1,0.812,0.996
B081,Xa48,0,0.785,0.751
B094,Xa7,0,0.0,0.0
B094,Xa10,0,0.0,0.0
B094,Xa23,1,0.812,0.999
B094,Xa48,0,0.743,0.742
B149,Xa7,0,0.0,0.0
B149,Xa10,0,0.0,0.0
B149,Xa23,1,0.742,0.909
B149,Xa48,0,1.0,0.793
B157,Xa7,0,0.0,0.0
B157,Xa10,0,0.0,0.0
B157,Xa23,1,0.812,0.996
B157,Xa48,0,0.736,0.726
B197,Xa7,0,0.0,0.0
B197,Xa10,0,0.0,0.0
B197,Xa23,1,0.812,0.998
B197,Xa48,0,1.0,0.788
B208,Xa7,0,0.0,0.0
B208,Xa10,0,0.0,0.0
B208,Xa23,1,0.812,0.998
B208,Xa48,0,0.777,0.749
B210,Xa7,0,0.0,0.0
B210,Xa10,0,0.0,0.0
B210,Xa23,1,0.812,0.998
B210,Xa48,0,0.764,0.745
B216,Xa7,0,0.0,0.0
B216,Xa10,0,0.0,0.0
B216,Xa23,1,0.812,0.998
B216,Xa48,0,0.764,0.743
B221,Xa7,0,0.0,0.0
B221,Xa10,0,0.0,0.0
B221,Xa23,1,0.812,0.989
B221,Xa48,0,0.746,0.741
B261,Xa7,0,0.0,0.0
B261,Xa10,0,0.0,0.0
B261,Xa23,1,0.812,0.996
B261,Xa48,0,1.0,0.8
B264,Xa7,0,0.0,0.0
B264,Xa10,0,0.0,0.0
B264,Xa23,1,0.812,0.998
B264,Xa48,0,1.0,0.8
CX3,Xa7,0,0.0,0.0
CX3,Xa10,0,0.0,0.0
CX3,Xa23,1,0.812,0.996
CX3,Xa48,0,1.0,0.798
CX10,Xa7,0,0.0,0.0
CX10,Xa10,0,0.0,0.0
CX10,Xa23,1,0.812,0.998
CX10,Xa48,0,1.0,0.798
CX101,Xa7,0,0.0,0.0
CX101,Xa10,0,0.0,0.0
CX101,Xa23,1,0.812,0.996
CX101,Xa48,0,1.0,0.797
CX102,Xa7,0,0.0,0.0
CX102,Xa10,0,0.0,0.0
CX102,Xa23,1,0.812,0.996
CX102,Xa48,0,1.0,0.795
CX162,Xa7,0,0.0,0.0
CX162,Xa10,0,0.0,0.0
CX162,Xa23,1,0.717,0.909
CX162,Xa48,0,0.755,0.731
CX270,Xa7,0,0.0,0.0
CX270,Xa10,0,0.0,0.0
CX270,Xa23,1,0.777,0.916
CX270,Xa48,0,0.767,0.745
IRIS_313-8454,Xa7,0,0.0,0.0
IRIS_313-8454,Xa10,0,0.0,0.0
IRIS_313-8454,Xa23,1,0.812,0.996
IRIS_313-8454,Xa48,0,1.0,0.8
IRIS_313-10171,Xa7,0,0.0,0.0
IRIS_313-10171,Xa10,0,0.0,0.0
IRIS_313-10171,Xa23,0,0.0,0.0
IRIS_313-10171,Xa48,1,1.0,0.803
IRIS_313-10503,Xa7,0,0.0,0.0
IRIS_313-10503,Xa10,0,0.0,0.0
IRIS_313-10503,Xa23,1,0.812,0.998
IRIS_313-10503,Xa48,0,1.0,0.8
IRIS_313-10968,Xa7,0,0.0,0.0
IRIS_313-10968,Xa10,0,0.0,0.0
IRIS_313-10968,Xa23,1,0.812,0.998
IRIS_313-10968,Xa48,0,1.0,0.799
IRIS_313-11038,Xa7,0,0.0,0.0
IRIS_313-11038,Xa10,0,0.0,0.0
IRIS_313-11038,Xa23,1,0.812,0.998
IRIS_313-11038,Xa48,1,1.0,0.803
IRIS_313-11039,Xa7,0,0.0,0.0
IRIS_313-11039,Xa10,0,0.0,0.0
IRIS_313-11039,Xa23,0,0.253,0.916
IRIS_313-11039,Xa48,1,1.0,0.803
IRIS_313-11665,Xa7,0,0.0,0.0
IRIS_313-11665,Xa10,0,0.0,0.0
IRIS_313-11665,Xa23,1,0.742,0.91
IRIS_313-11665,Xa48,1,1.0,0.804
IRIS_313-11667,Xa7,0,0.0,0.0
IRIS_313-11667,Xa10,0,0.0,0.0
IRIS_313-11667,Xa23,1,0.812,0.998
IRIS_313-11667,Xa48,1,1.0,0.802
IRIS_313-11668,Xa7,0,0.0,0.0
IRIS_313-11668,Xa10,0,0.0,0.0
IRIS_313-11668,Xa23,1,0.742,0.906
IRIS_313-11668,Xa48,1,1.0,0.803
IRIS_313-11692,Xa7,0,0.0,0.0
IRIS_313-11692,Xa10,0,0.0,0.0
IRIS_313-11692,Xa23,0,0.253,0.916
IRIS_313-11692,Xa48,1,1.0,0.803
IRIS_313-11727,Xa7,0,0.0,0.0
IRIS_313-11727,Xa10,0,0.0,0.0
IRIS_313-11727,Xa23,1,0.742,0.903
IRIS_313-11727,Xa48,1,1.0,0.803
IRIS_313-11732,Xa7,0,0.0,0.0
IRIS_313-11732,Xa10,0,0.0,0.0
IRIS_313-11732,Xa23,1,0.717,0.901
IRIS_313-11732,Xa48,1,1.0,0.804
IRIS_313-11733,Xa7,0,0.0,0.0
IRIS_313-11733,Xa10,0,0.0,0.0
IRIS_313-11733,Xa23,0,0.253,0.916
IRIS_313-11733,Xa48,1,1.0,0.803
IRIS_313-11734,Xa7,0,0.0,0.0
IRIS_313-11734,Xa10,0,0.0,0.0
IRIS_313-11734,Xa23,1,0.812,0.998
IRIS_313-11734,Xa48,0,1.0,0.799
IRIS_313-11745,Xa7,0,0.0,0.0
IRIS_313-11745,Xa10,0,0.0,0.0
IRIS_313-11745,Xa23,1,0.812,0.998
IRIS_313-11745,Xa48,0,1.0,0.8
IRIS_313-11746,Xa7,0,0.0,0.0
IRIS_313-11746,Xa10,0,0.0,0.0
IRIS_313-11746,Xa23,0,0.278,0.932
IRIS_313-11746,Xa48,1,1.0,0.805
IRIS_313-11752,Xa7,0,0.0,0.0
IRIS_313-11752,Xa10,0,0.0,0.0
IRIS_313-11752,Xa23,1,0.812,0.998
IRIS_313-11752,Xa48,0,1.0,0.799
IRIS_313-11753,Xa7,0,0.0,0.0
IRIS_313-11753,Xa10,0,0.0,0.0
IRIS_313-11753,Xa23,1,0.812,0.999
IRIS_313-11753,Xa48,0,1.0,0.799
IRIS_313-11795,Xa7,0,0.0,0.0
IRIS_313-11795,Xa10,0,0.0,0.0
IRIS_313-11795,Xa23,1,0.812,0.998
IRIS_313-11795,Xa48,0,1.0,0.8
IRIS_313-11796,Xa7,0,0.0,0.0
IRIS_313-11796,Xa10,0,0.0,0.0
IRIS_313-11796,Xa23,1,0.812,0.996
IRIS_313-11796,Xa48,1,1.0,0.803
IRIS_313-11797,Xa7,0,0.0,0.0
IRIS_313-11797,Xa10,0,0.0,0.0
IRIS_313-11797,Xa23,1,0.812,0.998
IRIS_313-11797,Xa48,0,1.0,0.799
IRIS_313-11799,Xa7,0,0.0,0.0
IRIS_313-11799,Xa10,0,0.0,0.0
IRIS_313-11799,Xa23,1,0.812,0.998
IRIS_313-11799,Xa48,1,1.0,0.803
IRIS_313-11802,Xa7,0,0.0,0.0
IRIS_313-11802,Xa10,0,0.0,0.0
IRIS_313-11802,Xa23,1,0.812,0.998
IRIS_313-11802,Xa48,1,1.0,0.804
IRIS_313-11804,Xa7,0,0.0,0.0
IRIS_313-11804,Xa10,0,0.0,0.0
IRIS_313-11804,Xa23,1,0.812,0.996
IRIS_313-11804,Xa48,1,1.0,0.803
IRIS_313-11805,Xa7,0,0.0,0.0
IRIS_313-11805,Xa10,0,0.0,0.0
IRIS_313-11805,Xa23,1,0.812,0.998
IRIS_313-11805,Xa48,0,1.0,0.8
IRIS_313-11806,Xa7,0,0.0,0.0
IRIS_313-11806,Xa10,0,0.0,0.0
IRIS_313-11806,Xa23,1,0.717,0.903
IRIS_313-11806,Xa48,0,1.0,0.8
IRIS_313-11878,Xa7,0,0.0,0.0
IRIS_313-11878,Xa10,0,0.0,0.0
IRIS_313-11878,Xa23,1,0.812,0.995
IRIS_313-11878,Xa48,1,1.0,0.803
IRIS_313-11882,Xa7,0,0.0,0.0
IRIS_313-11882,Xa10,0,0.0,0.0
IRIS_313-11882,Xa23,1,0.812,0.998
IRIS_313-11882,Xa48,0,1.0,0.799
IRIS_313-12033,Xa7,0,0.0,0.0
IRIS_313-12033,Xa10,0,0.0,0.0
IRIS_313-12033,Xa23,1,0.812,0.995
IRIS_313-12033,Xa48,1,1.0,0.803
B214,Xa7,0,0.0,0.0
B214,Xa10,0,0.0,0.0
B214,Xa23,1,0.812,0.997
B214,Xa48,0,0.743,0.739
B217,Xa7,0,0.0,0.0
B217,Xa10,0,0.0,0.0
B217,Xa23,0,0.253,0.916
B217,Xa48,0,0.757,0.738
CX82,Xa7,0,0.0,0.0
CX82,Xa10,0,0.0,0.0
CX82,Xa23,1,0.812,0.996
CX82,Xa48,0,1.0,0.794
CX92,Xa7,0,0.0,0.0
CX92,Xa10,0,0.0,0.0
CX92,Xa23,1,0.812,0.996
CX92,Xa48,0,1.0,0.791
CX97,Xa7,0,0.0,0.0
CX97,Xa10,0,0.0,0.0
CX97,Xa23,1,0.742,0.91
CX97,Xa48,0,1.0,0.8
CX125,Xa7,0,0.0,0.0
CX125,Xa10,0,0.0,0.0
CX125,Xa23,1,0.812,0.996
CX125,Xa48,0,0.745,0.73
CX134,Xa7,0,0.0,0.0
CX134,Xa10,0,0.0,0.0
CX134,Xa23,0,0.253,0.916
CX134,Xa48,0,0.76,0.743
CX150,Xa7,0,0.0,0.0
CX150,Xa10,0,0.0,0.0
CX150,Xa23,1,0.812,0.996
CX150,Xa48,0,1.0,0.798
CX152,Xa7,0,0.0,0.0
CX152,Xa10,0,0.0,0.0
CX152,Xa23,1,0.812,0.996
CX152,Xa48,1,1.0,0.803
CX225,Xa7,0,0.0,0.0
CX225,Xa10,0,0.0,0.0
CX225,Xa23,0,0.253,0.92
CX225,Xa48,1,1.0,0.801
CX250,Xa7,0,0.0,0.0
CX250,Xa10,0,0.0,0.0
CX250,Xa23,0,0.253,0.916
CX250,Xa48,0,0.751,0.741
CX276,Xa7,0,0.0,0.0
CX276,Xa10,0,0.0,0.0
CX276,Xa23,1,0.812,0.996
CX276,Xa48,0,0.783,0.752
CX290,Xa7,0,0.0,0.0
CX290,Xa10,0,0.0,0.0
CX290,Xa23,1,0.812,0.996
CX290,Xa48,0,0.741,0.738
CX305,Xa7,0,0.0,0.0
CX305,Xa10,0,0.0,0.0
CX305,Xa23,0,0.253,0.916
CX305,Xa48,0,0.783,0.752
CX357,Xa7,0,0.0,0.0
CX357,Xa10,0,0.0,0.0
CX357,Xa23,0,0.278,0.919
CX357,Xa48,0,0.757,0.746
CX364,Xa7,0,0.0,0.0
CX364,Xa10,0,0.0,0.0
CX364,Xa23,1,0.812,0.996
CX364,Xa48,0,0.757,0.746
IRIS_313-7808,Xa7,0,0.0,0.0
IRIS_313-7808,Xa10,0,0.0,0.0
IRIS_313-7808,Xa23,1,0.812,0.996
IRIS_313-7808,Xa48,1,1.0,0.807
IRIS_313-8930,Xa7,0,0.0,0.0
IRIS_313-8930,Xa10,0,0.0,0.0
IRIS_313-8930,Xa23,0,0.253,0.931
IRIS_313-8930,Xa48,0,1.0,0.8
IRIS_313-9066,Xa7,0,0.0,0.0
IRIS_313-9066,Xa10,0,0.0,0.0
IRIS_313-9066,Xa23,1,0.812,0.996
IRIS_313-9066,Xa48,1,1.0,0.808
IRIS_313-10333,Xa7,0,0.0,0.0
IRIS_313-10333,Xa10,0,0.0,0.0
IRIS_313-10333,Xa23,1,0.812,0.996
IRIS_313-10333,Xa48,1,1.0,0.804
IRIS_313-10397,Xa7,0,0.0,0.0
IRIS_313-10397,Xa10,0,0.0,0.0
IRIS_313-10397,Xa23,1,0.812,0.996
IRIS_313-10397,Xa48,0,1.0,0.8
IRIS_313-11784,Xa7,0,0.0,0.0
IRIS_313-11784,Xa10,0,0.0,0.0
IRIS_313-11784,Xa23,1,0.812,0.996
IRIS_313-11784,Xa48,1,1.0,0.807
IRIS_313-11798,Xa7,0,0.0,0.0
IRIS_313-11798,Xa10,0,0.0,0.0
IRIS_313-11798,Xa23,1,0.812,0.996
IRIS_313-11798,Xa48,0,1.0,0.799
IRIS_313-11930,Xa7,0,0.0,0.0
IRIS_313-11930,Xa10,0,0.0,0.0
IRIS_313-11930,Xa23,1,0.812,0.996
IRIS_313-11930,Xa48,1,1.0,0.806
B012,Xa7,0,0.0,0.0
B012,Xa10,0,0.0,0.0
B012,Xa23,1,0.812,0.997
B012,Xa48,0,1.0,0.797
B052,Xa7,0,0.0,0.0
B052,Xa10,0,0.0,0.0
B052,Xa23,0,0.119,1.0
B052,Xa48,0,0.757,0.739
CX98,Xa7,0,0.0,0.0
CX98,Xa10,0,0.0,0.0
CX98,Xa23,1,0.812,0.996
CX98,Xa48,0,1.0,0.799
CX99,Xa7,0,0.0,0.0
CX99,Xa10,0,0.0,0.0
CX99,Xa23,1,0.812,0.996
CX99,Xa48,0,1.0,0.799
CX155,Xa7,0,0.0,0.0
CX155,Xa10,0,0.0,0.0
CX155,Xa23,1,0.812,0.996
CX155,Xa48,0,0.775,0.748
CX160,Xa7,0,0.0,0.0
CX160,Xa10,0,0.0,0.0
CX160,Xa23,1,0.812,0.996
CX160,Xa48,0,0.782,0.744
IRIS_313-8305,Xa7,0,0.0,0.0
IRIS_313-8305,Xa10,0,0.0,0.0
IRIS_313-8305,Xa23,1,0.812,0.996
IRIS_313-8305,Xa48,0,1.0,0.8
IRIS_313-8595,Xa7,0,0.0,0.0
IRIS_313-8595,Xa10,0,0.0,0.0
IRIS_313-8595,Xa23,1,0.812,0.996
IRIS_313-8595,Xa48,0,0.762,0.741
IRIS_313-8703,Xa7,0,0.0,0.0
IRIS_313-8703,Xa10,0,0.0,0.0
IRIS_313-8703,Xa23,0,0.0,0.0
IRIS_313-8703,Xa48,0,1.0,0.793
IRIS_313-8925,Xa7,0,0.0,0.0
IRIS_313-8925,Xa10,0,0.0,0.0
IRIS_313-8925,Xa23,0,0.0,0.0
IRIS_313-8925,Xa48,0,1.0,0.799
IRIS_313-8988,Xa7,0,0.0,0.0
IRIS_313-8988,Xa10,0,0.0,0.0
IRIS_313-8988,Xa23,1,0.812,0.996
IRIS_313-8988,Xa48,0,1.0,0.799
IRIS_313-9039,Xa7,0,0.0,0.0
IRIS_313-9039,Xa10,0,0.0,0.0
IRIS_313-9039,Xa23,1,0.812,0.996
IRIS_313-9039,Xa48,0,1.0,0.8
IRIS_313-9067,Xa7,0,0.0,0.0
IRIS_313-9067,Xa10,0,0.0,0.0
IRIS_313-9067,Xa23,1,0.812,0.999
IRIS_313-9067,Xa48,0,1.0,0.799
IRIS_313-9148,Xa7,0,0.0,0.0
IRIS_313-9148,Xa10,0,0.0,0.0
IRIS_313-9148,Xa23,1,0.812,0.999
IRIS_313-9148,Xa48,1,1.0,0.802
IRIS_313-9262,Xa7,0,0.0,0.0
IRIS_313-9262,Xa10,0,0.0,0.0
IRIS_313-9262,Xa23,1,0.812,0.996
IRIS_313-9262,Xa48,0,1.0,0.799
IRIS_313-10010,Xa7,0,0.0,0.0
IRIS_313-10010,Xa10,0,0.0,0.0
IRIS_313-10010,Xa23,1,0.812,0.997
IRIS_313-10010,Xa48,0,1.0,0.799
IRIS_313-10114,Xa7,0,0.0,0.0
IRIS_313-10114,Xa10,0,0.0,0.0
IRIS_313-10114,Xa23,0,0.0,0.0
IRIS_313-10114,Xa48,0,1.0,0.8
IRIS_313-10576,Xa7,0,0.0,0.0
IRIS_313-10576,Xa10,0,0.0,0.0
IRIS_313-10576,Xa23,0,0.0,0.0
IRIS_313-10576,Xa48,0,1.0,0.792
IRIS_313-10863,Xa7,0,0.0,0.0
IRIS_313-10863,Xa10,0,0.0,0.0
IRIS_313-10863,Xa23,1,0.812,0.996
IRIS_313-10863,Xa48,0,1.0,0.8
IRIS_313-10986,Xa7,0,0.0,0.0
IRIS_313-10986,Xa10,0,0.0,0.0
IRIS_313-10986,Xa23,0,0.253,0.916
IRIS_313-10986,Xa48,1,1.0,0.801
IRIS_313-11205,Xa7,0,0.0,0.0
IRIS_313-11205,Xa10,0,0.0,0.0
IRIS_313-11205,Xa23,1,0.812,0.996
IRIS_313-11205,Xa48,0,1.0,0.8
IRIS_313-11224,Xa7,0,0.0,0.0
IRIS_313-11224,Xa10,0,0.0,0.0
IRIS_313-11224,Xa23,0,0.0,0.0
IRIS_313-11224,Xa48,0,1.0,0.796
IRIS_313-11229,Xa7,0,0.0,0.0
IRIS_313-11229,Xa10,0,0.0,0.0
IRIS_313-11229,Xa23,1,0.812,0.996
IRIS_313-11229,Xa48,0,1.0,0.8
IRIS_313-11241,Xa7,0,0.0,0.0
IRIS_313-11241,Xa10,0,0.0,0.0
IRIS_313-11241,Xa23,1,0.812,0.996
IRIS_313-11241,Xa48,0,1.0,0.799
IRIS_313-11242,Xa7,0,0.0,0.0
IRIS_313-11242,Xa10,0,0.0,0.0
IRIS_313-11242,Xa23,1,0.812,0.996
IRIS_313-11242,Xa48,0,1.0,0.8
IRIS_313-11267,Xa7,0,0.0,0.0
IRIS_313-11267,Xa10,0,0.0,0.0
IRIS_313-11267,Xa23,0,0.0,0.0
IRIS_313-11267,Xa48,0,1.0,0.799
IRIS_313-11372,Xa7,0,0.0,0.0
IRIS_313-11372,Xa10,0,0.0,0.0
IRIS_313-11372,Xa23,1,0.812,0.997
IRIS_313-11372,Xa48,0,1.0,0.798
IRIS_313-11416,Xa7,0,0.0,0.0
IRIS_313-11416,Xa10,0,0.0,0.0
IRIS_313-11416,Xa23,1,0.812,0.996
IRIS_313-11416,Xa48,0,1.0,0.799
IRIS_313-11453,Xa7,0,0.0,0.0
IRIS_313-11453,Xa10,0,0.0,0.0
IRIS_313-11453,Xa23,1,0.812,0.996
IRIS_313-11453,Xa48,0,1.0,0.798
IRIS_313-11460,Xa7,0,0.0,0.0
IRIS_313-11460,Xa10,0,0.0,0.0
IRIS_313-11460,Xa23,1,0.812,0.996
IRIS_313-11460,Xa48,0,1.0,0.795
IRIS_313-11642,Xa7,0,0.0,0.0
IRIS_313-11642,Xa10,0,0.0,0.0
IRIS_313-11642,Xa23,0,0.0,0.0
IRIS_313-11642,Xa48,0,1.0,0.799
IRIS_313-11644,Xa7,0,0.0,0.0
IRIS_313-11644,Xa10,0,0.0,0.0
IRIS_313-11644,Xa23,0,0.0,0.0
IRIS_313-11644,Xa48,0,1.0,0.799
IRIS_313-11645,Xa7,0,0.0,0.0
IRIS_313-11645,Xa10,0,0.0,0.0
IRIS_313-11645,Xa23,1,0.812,0.996
IRIS_313-11645,Xa48,0,1.0,0.799
IRIS_313-11646,Xa7,0,0.0,0.0
IRIS_313-11646,Xa10,0,0.0,0.0
IRIS_313-11646,Xa23,0,0.119,1.0
IRIS_313-11646,Xa48,0,1.0,0.8
IRIS_313-11648,Xa7,0,0.0,0.0
IRIS_313-11648,Xa10,0,0.0,0.0
IRIS_313-11648,Xa23,0,0.0,0.0
IRIS_313-11648,Xa48,0,1.0,0.799
IRIS_313-11671,Xa7,0,0.0,0.0
IRIS_313-11671,Xa10,0,0.0,0.0
IRIS_313-11671,Xa23,0,0.0,0.0
IRIS_313-11671,Xa48,0,1.0,0.8
IRIS_313-11723,Xa7,0,0.0,0.0
IRIS_313-11723,Xa10,0,0.0,0.0
IRIS_313-11723,Xa23,0,0.0,0.0
IRIS_313-11723,Xa48,0,1.0,0.799
IRIS_313-11738,Xa7,0,0.0,0.0
IRIS_313-11738,Xa10,0,0.0,0.0
IRIS_313-11738,Xa23,1,0.812,0.996
