acc,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12
B015,43237252,35907988,36387448,35481652,29939665,31226936,29676088,28422991,22996092,23188267,28999967,27511262
B061,43238205,35908608,36388099,35482131,29940078,31226155,29676720,28423597,22996370,23189014,29000999,27512800
B081,43238579,35910261,36387457,35482695,29939479,31226143,29676345,28423316,22996051,23189252,29001255,27514424
B094,43241178,35912503,36392539,35481621,29941026,31226744,29677782,28424080,22998019,23190183,29001324,27515414
B149,43238150,35905960,36388172,35480709,29940666,31224424,29675117,28423769,22993918,23188984,28998888,27515162
B157,43240844,35909777,36389255,35481887,29939750,31226180,29676117,28422777,22996540,23189908,29001352,27513369
B197,43238139,35908923,36387628,35481074,29939217,31224367,29676421,28425034,22996803,23190314,29001900,27513882
B208,43236998,35908307,36386782,35481860,29939234,31225824,29676013,28421292,22995848,23188139,29000542,27510798
B210,43237906,35909518,36389210,35482663,29939140,31225925,29677707,28422104,22996865,23189222,28999965,27514554
B216,43239444,35912366,36387127,35485201,29940050,31224635,29675397,28423034,22997365,23189205,28999414,27512909
B221,43243755,35912679,36390930,35484627,29943271,31228874,29677686,28426730,22998796,23192234,29003796,27517170
B261,43237597,35909121,36387090,35482052,29940365,31224896,29676727,28422928,22997394,23189113,29002168,27514731
B264,43236296,35909067,36387018,35479527,29938503,31223767,29675208,28422225,22995553,23189246,29000923,27511248
CX3,43238109,35909721,36386387,35479957,29938487,31223410,29675585,28422249,22996271,23189058,28999062,27511238
CX10,43241538,35909490,36386741,35482324,29939108,31224632,29676424,28424032,22999809,23189387,29001078,27512221
CX101,43237754,35910061,36388663,35484107,29939957,31223595,29676341,28422294,22996395,23188882,29000041,27513966
CX102,43237338,35907556,36387990,35480367,29937371,31226304,29677567,28423471,22997380,23188699,29000451,27511713
CX162,43239805,35911390,36388824,35483592,29940386,31226631,29677228,28424796,22996399,23189398,29002137,27512954
CX270,43241497,35912975,36389681,35484355,29940689,31227589,29678843,28427561,23000672,23189589,29006365,27512660
IRIS_313-8454,43236463,35907278,36386494,35481379,29938623,31224295,29675859,28421925,22995665,23188274,29001153,27513295
